material_ID,Materialkategorie,UUID-Nummer,material_name,ID-Nummer Entsorgung,Entsorgung,Rohdichte (kg/m3),Bezug,Total (UBP) ,Herstellung (UBP) ,Entsorgung (UBP) ,Primärenergie Gesamt Total (kWh oil-eq) ,Primärenergie Gesamt Herstellung (kWh oil-eq),Primärenergie Gesamt Herstellung energetisch genutzt (kWh oil-eq),Primärenergie Gesamt Herstellung stofflich genutzt (kWh oil-eq),Primärenergie Gesamt Entsorgung (kWh oil-eq),Primärenergie erneuerbar Total (kWh oil-eq),Primärenergie erneuerbar Herstellung Total (kwh oil-eq),Primärenergie erneuerbar Herstellung energetisch genutzt (kWh oil-eq),Primärenergie erneuerbar Herstellung stofflich genutzt (kWh oil-eq),Primärenergie Entsorgung (kWh oil-eq),Primärenergie nicht erneuerbar Total (kWh oil-eq),Primärenergie nicht erneuerbar Herstellung Total (kWh oil-eq),Primärenergie nicht erneuerbar Herstellung energetisch genutzt (kWh oil-eq),Primärenergie nicht erneuerbar Herstellung stofflich genutzt (kWh oil-eq),Primärenergie nicht erneuerbar Entsorgung (kWh oil-eq),Treibhausgasemissionen Total (kg CO2-eq),Treibhausgasemissionen Herstellung (kg CO2-eq),Treibhausgasemissionen Entsorgung (kg CO2-eq),Biogener Kohlenstoff im Produkt enthalten (kg C),Kommentar
3.004,Andere Massivbaustoffe,08C9C771-82D9-4925-8E06-39A4367A8370,Faserzement-Wellplatte,91.137,"Entsorgung, Faserzement",1’800,kg,1060,992,68,2.33,2,2,0,0,0.55,1,1,0,0,1.78,2,2,0,0,0.65,0.636,0.0133,0,
3.005,Andere Massivbaustoffe,9304338C-8D4A-4EE3-B1A2-43977ADA18A4,Flachglas beschichtet,91.032,"Entsorgung, Flachglas",2’500,kg,2’000,1’930,69.2,4.9,5,5,0,0,0.3,0,0,0,0,4.6,5,5,0,0,1.2,1.19,0.0193,0,
3.006,Andere Massivbaustoffe,8A03A7D4-FB51-48D0-BA86-9D13EE70A0D9,Flachglas unbeschichtet,91.032,"Entsorgung, Flachglas",2’500,kg,1’790,1’720,69.2,4.2,4,4,0,0,0.1,0,0,0,0,4.1,4,4,0,0,1.14,1.12,0.0193,0,
3.007,Andere Massivbaustoffe,45BEA46B-47E9-425F-926C-AEB31CB4A09D,Gipsfaserplatte,91.063,"Entsorgung, Gipsfaserplatte",1’200,kg,875,803,71.8,2.57,2,2,0,0,0.1,0,0,0,0,2.47,2,2,0,0,0.553,0.534,0.0188,0,
3.008,Andere Massivbaustoffe,38A83C73-92BD-492B-B435-97332A84863E,Gipskartonplatte,91.064,"Entsorgung, Gipskartonplatte",850,kg,525,453,72.1,1.42,1,1,0,0,0.09,0,0.08,0,0,1.33,1,1,0,0,0.302,0.283,0.0189,0,
3.016,Andere Massivbaustoffe,DB2B00A9-DBF6-CA2A-BAC1-9BCCE4E4846A,Gips-Wandbauplatte / Vollgipsplatte,91.069,"Entsorgung, Gips-Wandbauplatte / Vollgipsplatte",1’000,kg,531,459,71.7,1.48,1,1,0,0,0.03,0,0,0,0,1.45,1,1,0,0,0.317,0.298,0.0187,0,
3.009,Andere Massivbaustoffe,B787C33A-9D88-414E-84DE-3E087E3639ED,Hartsandsteinplatte,91.136,"Entsorgung, Baumaterialien, mineralisch, unspezifisch",2’500,kg,113,70,42.7,0.32,0,0,0,0,0.05,0,0,0,0,0.28,0,0,0,0,0.0411,0.0283,0.0128,0,
3.017,Andere Massivbaustoffe,8FE3FD69-2400-4DC4-933B-E91CDE601165,Kalksteinplatte,91.136,"Entsorgung, Baumaterialien, mineralisch, unspezifisch",2’500,kg,141,98.3,42.7,0.37,0,0,0,0,0.03,0,0,0,0,0.34,0,0,0,0,0.0738,0.061,0.0128,0,
3.01,Andere Massivbaustoffe,8B49329A-8573-47FC-8D1A-9F2E4640C4E6,Keramik-/Steinzeugplatte,91.136,"Entsorgung, Baumaterialien, mineralisch, unspezifisch",2’600,kg,4’110,4’060,42.7,3.9,4,4,0,0,0.2,0,0,0,0,3.7,4,4,0,0,0.796,0.783,0.0128,0,
3.011,Andere Massivbaustoffe,1300707C-F4F2-4FDC-AF3B-E31F5840F18E,Kies gebrochen,91.062,"Entsorgung, Kies und Sand",2’000,kg,65.2,24.8,40.4,0.093,0,0,0,0,0.008,0,0,0,0,0.085,0,0,0,0,0.0178,0.00508,0.0128,0,
3.022,Andere Massivbaustoffe,805e0a9f-a660-4446-b7df-f9c3b43824c2,Mischgranulat,91.062,"Entsorgung, Kies und Sand",2’400,kg,41.3,0.8,40.4,0.056,0,0,0,0,0.002,0,0,0,0,0.053,0,0,0,0,0.0135,0.00071,0.0128,0,
3.012,Andere Massivbaustoffe,1A0D933D-B136-4441-B98F-6E6FFD1DFDD8,Rundkies,91.062,"Entsorgung, Kies und Sand",2’000,kg,59.7,19.3,40.4,0.073,0,0,0,0,0.004,0,0,0,0,0.069,0,0,0,0,0.0159,0.00308,0.0128,0,
3.013,Andere Massivbaustoffe,B6F7B71D-25CE-45F6-BA5A-1A786AC69E0B,Sand,91.062,"Entsorgung, Kies und Sand",2’000,kg,59.7,19.3,40.4,0.073,0,0,0,0,0.004,0,0,0,0,0.069,0,0,0,0,0.0159,0.00308,0.0128,0,
